"sOQ2KMvM7Ck","http://youtube.com/watch?v=sOQ2KMvM7Ck","2019-06-12T16:05:58Z","UCe_EvY8GrvYgx8PbwRBc75g","TERU.vs.ＺトＮ【名古屋編】凱旋MC battle×STAGEAVENGER","82765","1410","6","0","133","2020-07-09 20:41:46"
"G5UN_0LNCfo","http://youtube.com/watch?v=G5UN_0LNCfo","2020-02-20T07:10:54Z","UCe_EvY8GrvYgx8PbwRBc75g","9for.vs.影賭.凱旋MCbattle東西選抜冬ノ陣2020.ベスト32","235660","3904","49","0","977","2020-07-09 20:41:46"
"tzCfA_sPr6U","http://youtube.com/watch?v=tzCfA_sPr6U","2018-07-23T08:01:21Z","UCe_EvY8GrvYgx8PbwRBc75g","U-mallow.vs.9for.凱旋MCbattle東西選抜シード戦12試合目","209831","2286","34","0","351","2020-07-09 20:41:46"
"dJ3trk_GIho","http://youtube.com/watch?v=dJ3trk_GIho","2019-11-03T13:26:38Z","UCe_EvY8GrvYgx8PbwRBc75g","じょうvs晋平太【延長戦】凱旋MCbattle秋ノ陣2019","246836","3137","47","0","671","2020-07-09 20:41:46"
"ary6Zxw1LUs","http://youtube.com/watch?v=ary6Zxw1LUs","2019-11-25T12:29:22Z","UCe_EvY8GrvYgx8PbwRBc75g","Authority.vs.T-TANGG.凱旋MCbattle東西選抜秋ノ陣2019","460280","6522","86","0","107","2020-07-09 20:41:46"
"nV1ODkdbpd8","http://youtube.com/watch?v=nV1ODkdbpd8","2019-08-16T09:32:10Z","UCe_EvY8GrvYgx8PbwRBc75g","CIMA.vs.Authority.凱旋MC battle東西選抜夏ノ陣2019.1回戦","658153","6935","102","0","1764","2020-07-09 20:41:46"
"nCfL6PkyVPg","http://youtube.com/watch?v=nCfL6PkyVPg","2019-09-01T09:46:45Z","UCe_EvY8GrvYgx8PbwRBc75g","9for.vs.ゆうま.凱旋MC battle東西選抜夏ノ陣2019.シード戦","498316","8150","164","0","1005","2020-07-09 20:41:46"
"sNOFQvlXPTQ","http://youtube.com/watch?v=sNOFQvlXPTQ","2020-02-27T07:28:02Z","UCe_EvY8GrvYgx8PbwRBc75g","ゆうまvs T-TANGG.凱旋MCbattle東西選抜冬ノ陣2020.ベスト32","397774","6034","74","0","1128","2020-07-09 20:41:46"
"spWVgNCu9fQ","http://youtube.com/watch?v=spWVgNCu9fQ","2020-03-09T07:26:43Z","UCe_EvY8GrvYgx8PbwRBc75g","ID.vs.T-TANGG.凱旋MCbattle東西選抜冬ノ陣2020.ベスト16","386010","5689","67","0","769","2020-07-09 20:41:46"
"fwyIDg0n_vQ","http://youtube.com/watch?v=fwyIDg0n_vQ","2019-11-24T10:20:36Z","UCe_EvY8GrvYgx8PbwRBc75g","Authority×だーひー×バチスタvsT-TANGG×スナフキン×PONEY.凱旋MCbattle東西選抜秋ノ陣2019シード戦","245866","3674","47","0","83","2020-07-09 20:41:46"
"3N2SqKs1N8E","http://youtube.com/watch?v=3N2SqKs1N8E","2018-06-16T16:05:09Z","UCe_EvY8GrvYgx8PbwRBc75g","凱旋MCbattle東西選抜予選.決勝 U-mallow.vs.Kill","259307","3869","48","0","240","2020-07-09 20:41:46"
